thr_YES,thr_NO,thr_TBD,macro_f1,fallback_mode
0.30000000000000004,0.9,0.5,0.787429,tbd
0.30000000000000004,0.9,0.6,0.785834,tbd
0.30000000000000004,0.9,0.7000000000000001,0.7851,tbd
0.30000000000000004,0.9,0.8,0.7851,tbd
0.30000000000000004,0.9,0.9,0.7851,tbd
0.4,0.1,0.1,0.821547,tbd
0.4,0.1,0.2,0.821547,tbd
0.4,0.1,0.30000000000000004,0.821547,tbd
0.4,0.1,0.4,0.821223,tbd
0.4,0.1,0.5,0.819482,tbd
0.4,0.1,0.6,0.815635,tbd
0.4,0.1,0.7000000000000001,0.810906,tbd
0.4,0.1,0.8,0.80246,tbd
0.4,0.1,0.9,0.791875,tbd
0.4,0.2,0.1,0.821547,tbd
0.4,0.2,0.2,0.821547,tbd
0.4,0.2,0.30000000000000004,0.821547,tbd
0.4,0.2,0.4,0.821223,tbd
0.4,0.2,0.5,0.819653,tbd
0.4,0.2,0.6,0.816684,tbd
0.4,0.2,0.7000000000000001,0.81359,tbd
0.4,0.2,0.8,0.810558,tbd
0.4,0.2,0.9,0.810558,tbd
0.4,0.30000000000000004,0.1,0.821547,tbd
0.4,0.30000000000000004,0.2,0.821547,tbd
0.4,0.30000000000000004,0.30000000000000004,0.821547,tbd
0.4,0.30000000000000004,0.4,0.821396,tbd
0.4,0.30000000000000004,0.5,0.820238,tbd
0.4,0.30000000000000004,0.6,0.81781,tbd
0.4,0.30000000000000004,0.7000000000000001,0.816329,tbd
0.4,0.30000000000000004,0.8,0.816329,tbd
0.4,0.30000000000000004,0.9,0.816329,tbd
0.4,0.4,0.1,0.821476,tbd
0.4,0.4,0.2,0.821476,tbd
0.4,0.4,0.30000000000000004,0.821476,tbd
0.4,0.4,0.4,0.821476,tbd
0.4,0.4,0.5,0.820652,tbd
0.4,0.4,0.6,0.819545,tbd
0.4,0.4,0.7000000000000001,0.819545,tbd
0.4,0.4,0.8,0.819545,tbd
0.4,0.4,0.9,0.819545,tbd
0.4,0.5,0.1,0.821445,tbd
0.4,0.5,0.2,0.821445,tbd
0.4,0.5,0.30000000000000004,0.821445,tbd
0.4,0.5,0.4,0.821445,tbd
0.4,0.5,0.5,0.821221,tbd
0.4,0.5,0.6,0.820337,tbd
0.4,0.5,0.7000000000000001,0.820337,tbd
0.4,0.5,0.8,0.820337,tbd
0.4,0.5,0.9,0.820337,tbd
0.4,0.6,0.1,0.82031,tbd
0.4,0.6,0.2,0.82031,tbd
0.4,0.6,0.30000000000000004,0.82031,tbd
0.4,0.6,0.4,0.82031,tbd
0.4,0.6,0.5,0.820089,tbd
0.4,0.6,0.6,0.81922,tbd
0.4,0.6,0.7000000000000001,0.81922,tbd
0.4,0.6,0.8,0.81922,tbd
0.4,0.6,0.9,0.81922,tbd
0.4,0.7000000000000001,0.1,0.816079,tbd
0.4,0.7000000000000001,0.2,0.816079,tbd
0.4,0.7000000000000001,0.30000000000000004,0.816079,tbd
0.4,0.7000000000000001,0.4,0.816079,tbd
0.4,0.7000000000000001,0.5,0.815857,tbd
0.4,0.7000000000000001,0.6,0.814998,tbd
0.4,0.7000000000000001,0.7000000000000001,0.814998,tbd
0.4,0.7000000000000001,0.8,0.814998,tbd
0.4,0.7000000000000001,0.9,0.814998,tbd
0.4,0.8,0.1,0.80956,tbd
0.4,0.8,0.2,0.80956,tbd
0.4,0.8,0.30000000000000004,0.80956,tbd
0.4,0.8,0.4,0.80956,tbd
0.4,0.8,0.5,0.809335,tbd
0.4,0.8,0.6,0.808483,tbd
0.4,0.8,0.7000000000000001,0.808483,tbd
0.4,0.8,0.8,0.808483,tbd
0.4,0.8,0.9,0.808483,tbd
0.4,0.9,0.1,0.787066,tbd
0.4,0.9,0.2,0.787066,tbd
0.4,0.9,0.30000000000000004,0.787066,tbd
0.4,0.9,0.4,0.787066,tbd
0.4,0.9,0.5,0.786823,tbd
0.4,0.9,0.6,0.78596,tbd
0.4,0.9,0.7000000000000001,0.78596,tbd
0.4,0.9,0.8,0.78596,tbd
0.4,0.9,0.9,0.78596,tbd
0.5,0.1,0.1,0.820784,tbd
0.5,0.1,0.2,0.820784,tbd
0.5,0.1,0.30000000000000004,0.820661,tbd
0.5,0.1,0.4,0.819924,tbd
0.5,0.1,0.5,0.817966,tbd
0.5,0.1,0.6,0.815116,tbd
0.5,0.1,0.7000000000000001,0.810502,tbd
0.5,0.1,0.8,0.802235,tbd
0.5,0.1,0.9,0.791856,tbd
0.5,0.2,0.1,0.820784,tbd
0.5,0.2,0.2,0.820784,tbd
0.5,0.2,0.30000000000000004,0.820661,tbd
0.5,0.2,0.4,0.820261,tbd
0.5,0.2,0.5,0.818937,tbd
0.5,0.2,0.6,0.816937,tbd
0.5,0.2,0.7000000000000001,0.81392,tbd
0.5,0.2,0.8,0.810957,tbd
0.5,0.2,0.9,0.810957,tbd
0.5,0.30000000000000004,0.1,0.820679,tbd
0.5,0.30000000000000004,0.2,0.820679,tbd
0.5,0.30000000000000004,0.30000000000000004,0.820679,tbd
0.5,0.30000000000000004,0.4,0.820529,tbd
0.5,0.30000000000000004,0.5,0.819608,tbd
